time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-13T20:34:58.780Z,32.6531,91.6264,10,5.2,mb,,38,2.971,0.89,us,us10004e7h,2016-11-10T22:08:12.846Z,"35km N of Pagnag, China",earthquake,8,1.8,0.039,221,reviewed,us,us
2016-01-12T20:04:59.710Z,36.5979,70.9503,239,5.7,mww,,20,0.606,1.07,us,us10004dtm,2016-11-10T22:08:04.208Z,"31km SSE of Jarm, Afghanistan",earthquake,6,1.8,,,reviewed,us,us
2016-01-08T09:07:09.450Z,36.6015,70.9688,223.13,5,mb,,59,0.61,1.11,us,us10004cbi,2016-11-10T22:07:27.428Z,"31km SSE of Jarm, Afghanistan",earthquake,6.6,4.8,0.049,132,reviewed,us,us
2016-01-03T23:05:22.270Z,24.8036,93.6505,55,6.7,mww,,16,1.794,1.01,us,us10004b2n,2017-10-11T21:19:36.388Z,"30km W of Imphal, India",earthquake,4.5,1.8,,,reviewed,us,us
2016-01-02T08:37:22.510Z,36.5426,70.932,189,5.2,mwb,,58,0.648,0.91,us,us10004aur,2016-11-10T22:06:56.130Z,"36km SSE of Jarm, Afghanistan",earthquake,5.2,1.6,0.049,40,reviewed,us,us
2015-12-25T19:14:47.190Z,36.4935,71.1263,206,6.3,mww,,17,0.77,0.91,us,us100049i1,2017-10-16T18:26:41.474Z,"42km WSW of Ashkasham, Afghanistan",earthquake,5,1.8,,,reviewed,us,us
2015-12-18T22:16:56.550Z,29.3985,81.6541,10,5.4,mb,,34,3.632,0.8,us,us1000488j,2016-11-10T22:05:02.645Z,"51km NE of Achham, Nepal",earthquake,7.5,1.8,0.035,274,reviewed,us,us
2015-11-27T11:40:34.340Z,34.8307,73.9303,5,5,mb,,39,1.298,0.91,us,us100041q3,2016-02-25T22:32:57.040Z,"28km N of Athmuqam, Pakistan",earthquake,3.3,3.7,0.076,56,reviewed,us,us
2015-11-22T18:16:04.710Z,36.4344,71.4233,102,5.7,mww,,16,0.968,1.27,us,us100040ct,2016-11-10T22:01:41.727Z,"29km SSW of Ashkasham, Afghanistan",earthquake,6.4,1.9,,,reviewed,us,us
2015-11-19T04:15:52.600Z,27.8525,85.6776,16.51,5,mb,,49,0.349,0.79,us,us10003zfw,2016-02-18T04:48:42.040Z,"21km NE of Nagarkot, Nepal",earthquake,6.5,3.9,0.053,115,reviewed,us,us
2015-11-02T13:40:36.200Z,32.0869,69.5562,44.73,5,mb,,26,2.484,0.7,us,us200041b0,2016-11-10T21:58:18.815Z,"23km S of Wana, Pakistan",earthquake,3.6,4.8,0.045,156,reviewed,us,us
2015-10-26T09:09:42.560Z,36.5244,70.3676,231,7.5,mww,,18,0.622,1.43,us,us10003re5,2017-11-14T17:02:31.419Z,"45km E of Farkhar, Afghanistan",earthquake,6.7,1.9,,,reviewed,us,us
2015-10-26T09:09:32.020Z,36.459,70.6847,206.94,5.9,mb,,18,0.671,1.11,us,us100042n2,2016-11-10T21:57:20.992Z,"46km SSW of Jarm, Afghanistan",earthquake,6.5,4.6,0.053,133,reviewed,us,us
2015-10-23T00:27:39.560Z,29.6377,70.326,11,5.6,mww,,38,4.722,0.88,us,us10003qv5,2017-10-11T21:15:27.974Z,"10km NNW of Dajal, Pakistan",earthquake,7.9,1.8,,,reviewed,us,us
2015-10-12T10:04:15.950Z,34.2965,98.2297,11.45,5.1,mb,,33,7.572,0.89,us,us10003myf,2016-11-10T21:55:50.902Z,"146km N of Qumong, China",earthquake,7.9,3.8,0.06,91,reviewed,us,us
2015-09-09T21:03:24.050Z,36.0086,70.4897,107.39,5.4,mww,,41,1.116,0.82,us,us20003hmu,2016-11-10T21:51:23.271Z,"25km W of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,5.5,4.2,,,reviewed,us,us
2015-08-23T09:02:05.080Z,27.8355,86.0795,10,5,mb,,51,0.659,0.63,us,us100034be,2015-11-24T02:09:30.040Z,"18km SE of Kodari, Nepal",earthquake,7.6,1.7,0.044,166,reviewed,us,us
